time,open,high,low,close,Volume
1771301520,1.3608,1.36082,1.3607,1.36079,192
1771301700,1.36078,1.36078,1.36071,1.36072,63
1771301880,1.36074,1.36086,1.36072,1.36075,139
1771302060,1.36074,1.36094,1.36074,1.36094,77
1771302240,1.36093,1.36103,1.36091,1.36097,147
1771302420,1.36096,1.36108,1.36092,1.36106,137
1771302600,1.36107,1.36111,1.3609,1.36104,236
1771302780,1.36103,1.36108,1.361,1.36104,130
1771302960,1.36104,1.36109,1.3609,1.36093,170
1771303140,1.36092,1.36118,1.36091,1.36112,220
1771303320,1.36112,1.36118,1.36104,1.36112,111
1771303500,1.36112,1.36122,1.36112,1.36122,182
1771303680,1.36122,1.36132,1.36115,1.3612,158
1771303860,1.3612,1.36128,1.36119,1.3612,100
1771304040,1.36118,1.36128,1.36118,1.36126,91
1771304220,1.36128,1.36128,1.3611,1.36115,97
1771304400,1.36115,1.36122,1.36106,1.36114,187
1771304580,1.36115,1.36115,1.36102,1.36104,199
1771304760,1.36106,1.36109,1.36094,1.36098,126
1771304940,1.36098,1.36112,1.36098,1.361,119
1771305120,1.36101,1.36102,1.3608,1.3608,127
1771305300,1.3608,1.3608,1.36066,1.3607,231
1771305480,1.3607,1.36081,1.36036,1.36065,437
1771305660,1.36064,1.36083,1.3606,1.36076,344
1771305840,1.36076,1.36082,1.36069,1.36072,208
1771306020,1.36074,1.36083,1.36054,1.36083,225
1771306200,1.36086,1.36089,1.3606,1.36088,431
1771306380,1.36088,1.36094,1.36071,1.36071,302
1771306560,1.36072,1.36089,1.36071,1.36073,304
1771306740,1.36072,1.36077,1.3606,1.36066,332
1771306920,1.36066,1.36067,1.36056,1.36062,167
1771307100,1.36062,1.36076,1.36061,1.36063,209
1771307280,1.36062,1.36064,1.36052,1.3606,224
1771307460,1.3606,1.36072,1.36052,1.36066,214
1771307640,1.36064,1.36082,1.36061,1.3608,162
1771307820,1.3608,1.3608,1.36066,1.36074,241
1771308000,1.36074,1.36122,1.36074,1.36111,368
1771308180,1.36112,1.36114,1.36101,1.36103,190
1771308360,1.36103,1.36104,1.36092,1.36102,180
1771308540,1.36103,1.36124,1.36099,1.36116,262
1771308720,1.36114,1.36124,1.36112,1.36122,201
1771308900,1.36122,1.36122,1.36102,1.36102,208
1771309080,1.36103,1.36131,1.36102,1.3612,199
1771309260,1.3612,1.36132,1.36119,1.36123,142
1771309440,1.36125,1.36144,1.36125,1.36141,161
1771309620,1.36142,1.36148,1.36128,1.36128,172
1771309800,1.36128,1.3613,1.36118,1.36118,211
1771309980,1.36119,1.36132,1.36119,1.3612,165
1771310160,1.3612,1.3613,1.36116,1.3613,198
1771310340,1.3613,1.3614,1.36128,1.36132,193
1771310520,1.36132,1.36149,1.36126,1.36138,168
1771310700,1.36138,1.3614,1.36114,1.3613,375
1771310880,1.3613,1.36132,1.36125,1.36129,184
1771311060,1.36127,1.36132,1.36125,1.3613,135
1771311240,1.3613,1.36141,1.36129,1.36136,118
1771311420,1.36138,1.36141,1.36112,1.36114,192
1771311600,1.3611,1.36124,1.35853,1.3586,1090
1771311780,1.3586,1.35895,1.35812,1.3584,924
1771311960,1.3584,1.35848,1.35784,1.35795,802
1771312140,1.35796,1.35822,1.35785,1.358,490
